codigoExterno,endereco,numero,complemento,bairro,cidade,uf,cep,tipoImovel,metragem,status
2564,ANA BILHAR,44,AP 702 ED RESIDENCE PASSY,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,193,Ativo
0128,ANA BILHAR,491,AP 2204 ED HAMILTON NOGUEIRA,MEIRELES,FORTALEZA,CE,60160110,APARTAMENTO,,Ativo
0332,ANA BILHAR,1235,AP 303 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,70,Ativo
1732,ANA BILHAR,1235,AP 1401 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,67,Ativo
2876,ANA BILHAR,491,AP 1102 ED HAMILTON NOGUEIRA ESQ DES MOREIRA 245,MEIRELES,FORTALEZA,CE,60160110,APARTAMETO,,Ativo
3175,ANA BILHAR,54,AP 503 ED REGINALDO ROCHA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,68,Ativo
1692,ANA BILHAR,1235,AP 404 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,68,Ativo
0142,ANA BILHAR,491,AP 703 ED HAMILTON NOGUEIRA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,70,Ativo
2737,ANA BILHAR,1235,AP 1404 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,49,Ativo
2595,ANA BILHAR,1235,AP 1301 ED ROMA,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,60,Ativo
2564,ANA BILHAR,44,AP 702 ED RESIDENCE PASSY,MEIRELES,FORTALEZA,CE,60160110,RESIDENCIAL,193,Ativo
0128,ANA BILHAR,491,AP 2204 ED HAMILTON NOGUEIRA,MEIRELES,FORTALEZA,CE,60160110,APARTAMENTO,,Ativo
4023,ANA BILHAR ,1235,ED ROMA AP 201,MEIRELES,FORTALEZA,CE,60160110,APARTAMENTO,,Ativo
3072,ANDRADE FURTADO,2401,AP 304 BL GERBERA ED LES JARDINS,COCO,FORTALEZA,CE,60192070,APARTAMENTO,,Ativo
0042,ANDRADE FURTADO,1300,AP 303 BL E ED MODERNA ALDEOTA,COCO,FORTALEZA,CE,60192072,,100,Ativo
3121,ANTONIO AUGUSTO,120,AP 2202 ED CONSONATA,MEIRELES,FORTALEZA ,CE,60110370,APARTAMENTO,,Ativo
3163,ANTONIO AUGUSTO,120,AP 1102 ED CONSONATA,ALDEOTA,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
2140,ANTONIO AUGUSTO,1271,SALA 1101,ALDEOTA,FORTALEZA,CE,60110370,COMERCIAL,0,Ativo
3304,ANTONIO AUGUSTO,52,AP 2303 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,75,Ativo
3121,ANTONIO AUGUSTO,120,AP 2202 ED CONSONATA,MEIRELES,FORTALEZA ,CE,60110370,APARTAMENTO,,Ativo
2828,ANTONIO AUGUSTO,52,AP 1603  ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,75,Ativo
3009,ANTONIO AUGUSTO,52,AP 2004 ED PIAZZA COLISEU,MEIRELES ,FORTALEZA ,CE,60110370,APARTAMENTO,,Ativo
2851,ANTONIO AUGUSTO,52,AP 604 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
2992,ANTONIO AUGUSTO,120,AP 1202 ED CONSONATA,MEIRELES,FORTALEZA,CE,60110370,APATAMENTO,,Ativo
2997,ANTONIO AUGUSTO,52,AP301 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
2991,ANTONIO AUGUSTO,120,AP 1201 ED CONSONATA,MEIRELES,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
3014,ANTONIO AUGUSTO,52,AP101 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,75,Ativo
3304,ANTONIO AUGUSTO,52,AP 2303 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,75,Ativo
2979,ANTONIO AUGUSTO,52,AP 701 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,96,Ativo
1157,ANTONIO AUGUSTO,483,AP 506 ED MONSENHOR TABOSA,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,80,Ativo
2991,ANTONIO AUGUSTO,120,AP 1201 ED CONSONATA,MEIRELES,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
3364,ANTONIO AUGUSTO,52,AP 105 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,RESIDENCIAL,75,Ativo
2997,ANTONIO AUGUSTO,52,AP301 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110370,APARTAMENTO,,Ativo
2270,ANTONIO AUGUSTO,575,,MEIRELES,FORTALEZA,CE,60110370,COMERCIAL,60,Ativo
4092,ANTONIO AUGUSTO ,52,AP 1401 ED PIAZZA COLISEU,MEIRELES,FORTALEZA,CE,60110400,APARTAMENTO,,Ativo
2096,ANTONIO JUSTA,3450,AP 103 ED JOAO VICTOR,MEIRELES,FORTALEZA,CE,60165090,RESIDENCIAL,130,Ativo
4349,ANTONIO JUSTA ,4180,"AP 202 , ED DANIELLE ",VARJOTA ,FORTALEZA,CE,60175425,APARTAMENTO,,Ativo
4110,ANTONIO LAFAYETTE,124,,ALAGADIÇO,FORTALEZA,CE,60356140,CASA,,Ativo
3510,ANTONIO SALES,25,AP 201,JOAQUIM TAVORA,FORTALEZA,CE,60135100,RESIDENCIAL,30,Ativo
1395,ANTONIO SALES,2311,APTO 104 ED OURO VELHO,DIONISIO TORRES,FORTALEZA,CE,60135100,RESIDENCIAL,120,Ativo
3512,ANTONIO SALES,25,AP 203,JOAQUIM TAVORA,FORTALEZA,CE,60135100,RESIDENCIAL,30,Ativo
3117,ANTONIO SALES,2367,AP 301 ED SAN MICHEL,DIONISIO TORRES,FORTALEZA,CE,60135100,APARTAMENTO,,Ativo
0080,ANTONIO SALES,2240,SL 44 48 50,DIONISIO TORRES,FORTALEZA,CE,60135101,,120,Ativo
4462,ANTONIO SALES ,2199,AP 401 ED. ANA ZULEIKA,DIONISIO TORRES,FORTALEZA,CE,,APARTAMENTO,,Ativo
3039,ARAUJO TORREAO,215,CASA 07 BL A COND MAYARA RESIDENCE,MESSEJANA,FORTALEZA,CE,60830290,,,Ativo
3161,ARTHUR FACANHA,66,AP 1903 E D EMILIO HINKO,MUCURIPE,FORTALEZA,CE,60175130,APARTAMENTO,,Ativo
2572,ARTHUR FACANHA,66,AP 1403 ED EMILIO HINKO,MUCURIPE,FORTALEZA,CE,60175130,RESIDENCIAL,63,Ativo
3161,ARTHUR FACANHA,66,AP 1903 E D EMILIO HINKO,MUCURIPE,FORTALEZA,CE,60175130,APARTAMENTO,,Ativo
2955,AUSTRALIA,647,,ITAPERI,FORTALEZA ,CE,60740820,CASA,,Ativo
4887,AV 13 DE MAIO,2955,,BENFICA,FORTALEZA,CE,60040215,RESIDENCIAL/COMERCIAL,583,Ativo
1918,AV ADERBAL NUNES FREIRE,4107,AP 302 BL B  ED 11 DE JULHO,COCO                                                            ,FORTALEZA                                                       ,CE,60135590,APARTAMENTO                   ,,Ativo
3397,AV ALBERTO CRAVEIRO,1240,AP 303 BL 4 ED. RESERVA JARDIM,CASTELÃO,FORTALEZA,CE,60860000,APARTAMENTO,,Ativo
3692,AV- ALBERTO CRAVEIRO,1240,AP506 BL11 ED RESERVA JARDIM ANT VIA MARGI RIACHO MARTINHO 51,BOA VISTA,FORTALEZA,CE,60861212,APARTAMENTO,,Ativo
4610,AV ALBERTO CRAVEIRO (R VIA MARGINAL RIACHO MARTINHO 51),1240,AP 205 BL 06 ED RESERVA JARDIM,DIAS MACEDO ,FORTALEZA,CE,,APARTAMENTO ,,Ativo
2998,AV- ALVARO CORREIA,455,AP1101 BL II ED MEDITER RANEE VILLAGE,VARJOTA,FORTALEZA ,CE,60165230,APARTAMENTO,,Ativo
0050,AV ANTONIO JUSTA,3551,AP 902 BL B ED BIBLOS E SIDON,MEIRELES,FORTALEZA,CE,60165090,,110,Ativo
1979,AV ANTONIO JUSTA,2970,AP 103 ED SCORPIUS,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165090,APARTAMENTO                   ,,Ativo
4637,AV ANTONIO JUSTA,2970,AP 303 ED SCORPIO (ENEL BL C),MEIRELES,FORTALEZA,CE,60165090,RESIDENCIAL,197,Ativo
4108,AV ANTONIO JUSTA,3309,AP 703 ED VILLAGE MISRAEL PINHEIRO,MEIRELES,FORTALEZA,CE,60165090,APARTAMENTO,,Ativo
3337,AV ANTONIO JUSTA,3799,AP 703 ED BOLZANO,VARJOTA,FORTALEZA,CE,60165090,APARTAMENTO,,Ativo
2807,AV ANTONIO JUSTA,2970,AP 201 ED SCORPIUS                                              ,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165090,APARTAMENTO                   ,,Ativo
4843,AV ANTONIO JUSTA,3450,AP 102 ED JOAO VICTOR,MEIRELES,fortaleza,CE,,APARTAMENTO,,Ativo
4671,AV ANTONIO JUSTA ,3330,"AP 1100, SPLENDIDO RESIDENCE",MEIRELES,FORTALEZA,CE,,APARTAMENTO,,Ativo
3551,AV- ANTONIO JUSTA,2324,AP 205 ED MISTO VIA VENETTO FLAT,MEIRELES,FORTALEZA ,CE,60165090,APARTAMENTO,,Ativo
3508,AV ANTONIO SALES,25,AP 102,JOAQUIM TAVORA,FORTALEZA,CE,60135100,APARTAMENTO,,Ativo
1824,AV ANTONIO SALES,1317,SL 1102  ED NORDESTE CENTER,DIONISIO TORRES                                                 ,FORTALEZA                                                       ,CE,60135100,SALA                          ,,Ativo
3507,AV ANTONIO SALES,25,AP 101,JOAQUIM TAVORA,FORTALEZA,CE,60135100,APARTAMENTO,,Ativo
3509,AV ANTONIO SALES,25,AP 103,JOAQUIM TAVORA,FORTALEZA,CE,60135100,APARTAMENTO,,Ativo
3513,AV ANTONIO SALES,25,LOJA,JOAQUIM TAVORA,FORTALEZA,CE,60135100,LOJA,,Ativo
1232,AV ANTONIO SALES,25,ALTOS,JOAQUIM TAVORA                                                  ,FORTALEZA                                                       ,CE,60135100,CASA                          ,,Ativo
3511,AV ANTONIO SALES,25,AP 202,JOAQUIM TAVORA,FORTALEZA,CE,60135100,APARTAMENTO,,Ativo
4274,AV. AUGUSTO DOS ANJOS,240,AP 103 BL 09 COND JOSE BASTOS,JOQUEI CLUBE ,FORTALEZA,CE,60520022,APARTAMENTO,,Ativo
2194,AV BARAO DE STUDART,2360,SL 803 ED TORRE EMPRESARIAL QUIXADÁ,JOAQUIM TAVORA,FORTALEZA,CE,60120002,COMERCIAL,,Ativo
4888,AV BARAO DE STUDART,1966,AP 702 BL A ED GLORINHA PESTANA,ALDEOTA,FORTALEZA,CE,60120024,RESIDENCIAL,131,Ativo
3754,AV BARAO DE STUDART,204,AP 303 ED TEREZINHA,MEIRELES,FORTALEZA,CE,60120000,APARTAMENTO,,Ativo
1294,AV BARAO DE STUDART,2500,SALA 506 ED CENICENTER,ALDEOTA                                                         ,FORTALEZA                                                       ,CE,60120002,SALA                          ,,Ativo
2585,AV BARAO DE STUDART,204,AP 801 ED TEREZINHA,ALDEOTA                                                         ,FORTALEZA                                                       ,CE,60120000,APARTAMENTO                   ,,Ativo
4231,AV. BARAO DE STUDART,1000,AP 203 ED SAN MARINO,ALDEOTA,FORTALEZA,CE,,,,Ativo
2847, AV BEIRA MAR,3666,AP 1500  BL02 ED SEA TOWER,MEIRELES,FORTALEZA,CE,60165121,RESIDENCIAL,192,Ativo
1917,AV BEIRA MAR,3960,AP 509 ED SCALA RESIDENCE,MUCURIPE,FORTALEZA,CE,60165121,APARTAMENTO,,Ativo
2720,AV BEIRA MAR,3960,AP 909 ED SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2387,AV BEIRA MAR,4444,AP 805A ED PROFESSOR MARINHO DE ANDRADE,MUCURIPE                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2495,AV BEIRA MAR,3960,AP 1010 ED. SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,FLAT                          ,,Ativo
1498,AV BEIRA MAR,4320,AP 200 ED VELEIRO CONDOMINIUM,MUCURIPE                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2742,AV BEIRA MAR,3960,AP 1806 ED SCALA RESIDENZA                                      ,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2026,AV BEIRA MAR,2120,AP 1201 ED ATLANTIS,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
1498,AV BEIRA MAR,4320,AP 200 ED VELEIRO CONDOMINIUM,MUCURIPE                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2541,AV BEIRA MAR,3220,AP 407 ED JAQUELINE,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2026,AV BEIRA MAR,2120,AP 1201 ED ATLANTIS,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2722,AV BEIRA MAR,3960,AP 2205 ED SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2195,AV BEIRA MAR,4050,AP1705 ED IRACEMA RESIDENCE SERVICE,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,FLAT                          ,,Ativo
2720,AV BEIRA MAR,3960,AP 909 ED SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
2721,AV BEIRA MAR,3960,AP 713 ED SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
4695,AV BEIRA MAR,1000,"AP 800, ED JANGADA",MEIRELES,FORTALEZA,CE,,APARTAMENTO,,Ativo
2495,AV BEIRA MAR,3960,AP 1010 ED. SCALA RESIDENZA,MEIRELES                                                        ,FORTALEZA                                                       ,CE,60165121,FLAT                          ,,Ativo
2387,AV BEIRA MAR,4444,AP 805A ED PROFESSOR MARINHO DE ANDRADE,MUCURIPE                                                        ,FORTALEZA                                                       ,CE,60165121,APARTAMENTO                   ,,Ativo
1636,AV BEIRA MAR ,2780,AP 503  ED ARPOADOR,MEIRELES,FORTALEZA,CE,60165121,APARTAMENTO,,Ativo
3534,AV- BEIRA MAR,3220,AP 620 GAR 28 ED JAQUELINE,MEIRELES,FORTALEZA,CE,60165121,APARTAMENTO,,Ativo
3469,AV- BEIRA MAR,3960,AP 1806 ED SCALA RESIDENZA,MUCURIPE,FORTALEZA ,CE,60165121,APARTAMENTO,,Ativo
4562,AV. BEIRA MAR ,4620,AP 405 ED. OCEAN TOWER,MUCURIPE,FORTALEZA,CE,,RESIDENCIAL,,Ativo
3460,AV-  BERNARDO MANUEL,8500,AP 304 BL 1 FICUS RESIDENCIAL TAMBUI,DEDE,FORTALEZA,CE,60761282,APARTAMENTO,,Ativo
3661,AV-BEZERRA DE MENEZES,1250,SALA 1305 ED MOMENTUM OFFICE BEZ DE MENEZES,ALARGADICO,FORTALEZA,CE,60325001,SALA,,Ativo
4652,AV BLUMENAU,0,CAFETERIA ED. SHOPPING CENTER TIROL,CENTRO,EUSEBIO,CE,61760320,COMERCIAL,436,Ativo
4561,AV BLUMENAU QUADRA Q16,0,LOJA 19 ED. SHOPPING CENTER TIROL,CENTRO,EUSEBIO,CE,61760320,COMERCIAL,86,Ativo
4572,AV BULEVAR III,416,CONJ SÃO CRISTOVÃO,JANGURUSSU,FORTALEZA,CE,,,,Ativo
3147,AV CAMINHO DO SOL,4421,PORTO DAS DUNAS,PORTO DAS DUNAS,FORTALEZA,CE,60000000,CASA,,Ativo
4558,AV CARAPINIMA ,1821 ,AP 404 BL 2 B ED ATENAS,BENFICA,FORTALEZA-CE,CE,,,,Ativo
2207,AV CARLOS AMORA,152, ,PARANGABA                                                       ,FORTALEZA                                                       ,CE,60740000,TERRENO                       ,,Ativo
4276,AV CARNEIRO DE MENDONCA,2095,,JOQUEI CLUBE,FORTALEZA,CE,60510137,TERRENO,,Ativo
3911,AV CENTRAL,654,E,MARACANAU,FORTALEZA,CE,61920690,PONTO,,Ativo
2570,AV CENTRAL DO ICARAI,2751,AP 16 BL A ED PALACE DE FRANCE,ICARAI                                                          ,CAUCAIA                                                         ,CE,61600000,APARTAMENTO                   ,,Ativo
4579,AV CESAR CALS,4490,AP 1202 TORRE 02 ED MIRANTE CONDOMINIO,PRAIA DO FUTURO II,FORTALEZA,CE,60182685,APARTAMENTO,47,Ativo
3174,AV CESAR CALS,1060,B,VICENTE PIZÓN,FORTALEZA ,CE,60182000,CASA,,Ativo
2215,AV CLOVIS ARRAIS MAIA,1700,AP102,PRAIA DO FUTURO I,FORTALEZA,CE,60182322,RESIDENCIAL,31,Ativo
4475,AV CLOVIS MATOS,280,AP 305 BL A ED ESTILO DUNAS,VICENTE PINZON,FORTALEZA,CE,60182250,,,Ativo
4696,AV COMODORO  ESTACIO BRIGIDO ,2800 AP 703,(ANTIGA AV NORTE) ED ARUA,ENGENHEIRO LUCIANO CAVALCANTE,FORTALEZA ,CE,,APARTAMENTO ,,Ativo
4918,AV CONSELHEIRO GOMES DE FREITAS,5000,"CASA 49 A, FAMILY VILLE",SAPIRANGA-COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4923,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 4D ED CIMTAL CENTER,SAPIRANGA-COITE,FORTALEZA,CE,60833104,COMERCIAL,12,Ativo
4913,AV CONSELHEIRO GOMES DE FREITAS,5110,SALA 18 ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,0,Ativo
4908,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 06 ED CIMTAL CENTER,SAPIRANGA-COITE,FORTALEZA,CE,60833104,COMERCIAL,46,Ativo
4925,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 16  ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,0,Ativo
4947,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 11 ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,,10,Ativo
4922,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 21 ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,39,Ativo
4920,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 24  ED. CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4917,AV CONSELHEIRO GOMES DE FREITAS,5000,"CASA 43 A, FAMILY VILLE",SAPIRANGA COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4947,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 11 ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,,10,Ativo
4899,AV CONSELHEIRO GOMES DE FREITAS,5102,,SAPIRANGA COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4928,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 2A ED. CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,9,Ativo
4950,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 1D ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,12,Ativo
4918,AV CONSELHEIRO GOMES DE FREITAS,5000,"CASA 49 A, FAMILY VILLE",SAPIRANGA-COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4906,AV CONSELHEIRO GOMES DE FREITAS,5110,SALA 22 ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,0,Ativo
4944,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 26  ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,,0,Ativo
4925,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 16  ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,COMERCIAL,0,Ativo
4917,AV CONSELHEIRO GOMES DE FREITAS,5000,"CASA 43 A, FAMILY VILLE",SAPIRANGA COITE,FORTALEZA,CE,60833104,RESIDENCIAL,0,Ativo
4933,AV CONSELHEIRO GOMES DE FREITAS,5000,5110 SALA 13  ED CIMTAL CENTER,SAPIRANGA COITE,FORTALEZA,CE,60833104,,0,Ativo
